Name,logTeff,logLum,Mass,logAge,logMass
053514.2-052424,3.602,0.56,0.7,5.64,-0.1549019599857432
053514.2-052612,,,,,
053514.2-052843,,,,,
053514.3-051340,,,,,
053514.3-052204,,,,,
053514.3-052232,,,,,
053514.3-052235,,,,,
053514.3-052254,,,,,
053514.3-052308,,,,,
053514.3-052317,,,,,
053514.4-051725,3.557,-0.12,0.41,6.02,-0.38721614328026455
053514.4-051824,,,,,
053514.4-052230,,,,,
053514.4-052255,,,,,
053514.4-052322,,,,,
053514.4-052333,3.557,0.36,0.41,4.94,-0.38721614328026455
053514.4-052350,,,,,
053514.4-052410,,,,,
053514.4-052502,3.535,-0.55,0.33,6.32,-0.4814860601221125
053514.4-052541,,,,,
053514.4-053246,3.491,-0.51,0.21,6.0,-0.6777807052660807
053514.5-051956,,,,,
053514.5-052206,3.526,-0.59,0.29,6.32,-0.5376020021010439
053514.5-052238,,,,,
053514.5-052315,,,,,
053514.5-052407,,,,,
053514.5-052630,,,,,
053514.5-052903,3.479,-1.27,0.11,6.01,-0.958607314841775
053514.6-051400,,,,,
053514.6-052042,,,,,
053514.6-052149,,,,,
053514.6-052211,,,,,
053514.6-052233,3.602,0.71,0.72,5.3,-0.14266750356873156
053514.6-052301,3.555,-0.15,0.4,6.03,-0.3979400086720376
053514.6-052328,,,,,
053514.7-051646,,,,,
053514.7-052016,,,,,
053514.7-052028,,,,,
053514.7-052106,,,,,
053514.7-052229,,,,,
053514.7-052238,,,,,
053514.7-052249,,,,,
053514.7-052322,3.513,0.2,0.26,4.6,-0.585026652029182
053514.7-052412,,,,,
053514.7-053416,3.513,-0.54,0.26,6.29,-0.585026652029182
053514.8-052223,,,,,
053514.8-052225,,,,,
053514.8-052231,,,,,
053514.8-052305,,,,,
053514.8-052315,,,,,
053514.8-052346,,,,,
053514.8-052406,,,,,
053514.8-052411,3.491,-0.06,0.22,4.85,-0.6575773191777937
053514.9-052159,3.661,0.42,1.52,6.3,0.18184358794477254
